Avgc,,Betweenness,,,Eigenvector,,,PageRank,
,,Seed,Influenced,,Seed,Influenced,,Seed,Influenced
"0.167364941501
",,100,4777,,100,4707,,95,4760
"0.18120459408
",,100,4259,,100,4107,,95,4181
"0.13871927017
",,100,5475,,100,5462,,100,5468
"0.168266356504
",,100,4532,,90,4454,,100,4486
"0.19667523863
",,100,3742,,100,3554,,100,3554
"0.161708080207
",,100,4778,,90,4755,,100,4771
"0.190835583669
",,100,3776,,95,3634,,100,3624
"0.145353565719
",,100,5317,,100,5310,,100,5321
"0.185701807835
",,95,3951,,100,3759,,100,3806
"0.130984290012
",,95,5581,,100,5574,,95,5583
"0.131144857172
",,100,5545,,100,5549,,100,5553
"0.146422090186
",,100,5207,,100,5185,,95,5200
"0.191130345114
",,95,3858,,100,3788,,95,3793
"0.161596312859
",,95,4856,,100,4807,,100,4827
"0.184637938476
",,95,3946,,95,3728,,95,3845
"0.176504885274
",,100,4450,,100,4386,,100,4375
"0.154553615422
",,95,5052,,95,5033,,95,5042
"0.143459727588
",,100,5332,,95,5326,,100,5342
"0.193721810913
",,95,3690,,95,3544,,100,3454
"0.192048124951
",,100,3747,,100,3431,,100,3435
"0.13233586087
",,100,5593,,90,5585,,100,5598
"0.176130358654
",,100,4182,,100,4022,,95,4130
"0.141422593184
",,100,5484,,100,5472,,95,5483
"0.171984140537
",,100,4588,,100,4490,,95,4536
"0.144158565388
",,95,5352,,95,5329,,90,5352
"0.163256870363
",,95,4819,,100,4762,,100,4789
"0.138281076957
",,90,5398,,90,5390,,100,5401
"0.152517053692
",,100,5129,,100,5101,,100,5114
"0.131845766005
",,100,5588,,100,5582,,95,5583
"0.17968962368
",,100,4359,,100,4267,,100,4308
"0.147974658284
",,100,5251,,100,5231,,90,5255
"0.139862040602
",,100,5465,,100,5455,,95,5468
"0.169607395876
",,100,4646,,95,4580,,95,4633
"0.157363068777
",,95,5068,,100,5024,,100,5058
"0.156205514635
",,90,4945,,100,4898,,95,4916
"0.142493511884
",,100,5337,,100,5334,,95,5335
"0.148173590092
",,100,5247,,100,5232,,95,5247
"0.183169182674
",,100,4019,,100,3886,,95,3827
"0.180595178084
",,95,4261,,95,4192,,95,4176
"0.146138931436
",,100,5294,,100,5275,,100,5300
"0.135950778141
",,100,5553,,100,5542,,100,5564
"0.190917540392
",,100,3766,,90,3607,,95,3582
"0.180971089307
",,100,4175,,100,4133,,100,4084
"0.139853505076
",,100,5405,,95,5402,,100,5415
"0.171473451945
",,100,4834,,90,4792,,95,4813
"0.193135952262
",,100,3694,,95,3485,,100,3524
"0.155833461193
",,90,5023,,100,4990,,100,5011
"0.177228431216
",,95,4377,,100,4270,,100,4319
"0.18904910665
",,100,3932,,100,3808,,95,3788
"0.187246101994
",,100,3878,,100,3709,,100,3761
"0.175502357497
",,95,4411,,100,4341,,100,4348
"0.160513454114
",,100,4864,,100,4807,,95,4847
"0.157101978038
",,100,4982,,100,4936,,100,4959
"0.146738502287
",,100,5224,,100,5179,,100,5222
"0.182271420024
",,90,4130,,100,4046,,100,4076
"0.148382062613
",,100,5135,,100,5106,,100,5133
"0.178276908616
",,100,4204,,100,4073,,100,4105
"0.181842616384
",,100,4171,,90,4021,,90,4079
"0.13743181012
",,95,5522,,90,5515,,100,5539
"0.179912935066
",,95,4348,,95,4265,,95,4341
"0.150057832685
",,95,5068,,100,5027,,95,5053
"0.146157883657
",,100,5277,,100,5273,,100,5290
"0.187596954942
",,100,3849,,100,3711,,95,3725
"0.1682511837
",,100,4489,,95,4393,,95,4452
"0.190518289421
",,100,3869,,95,3699,,100,3709
"0.143430563765
",,100,5345,,95,5337,,85,5346
"0.145208697055
",,100,5276,,95,5247,,90,5274
"0.166437261958
",,100,4737,,100,4694,,95,4742
"0.18802851488
",,95,3869,,95,3811,,100,3826
"0.176441737906
",,100,4288,,100,4209,,95,4236
"0.143936976974
",,100,5300,,100,5288,,100,5303
"0.176628117966
",,95,4513,,95,4422,,95,4505
"0.159806089424
",,95,4875,,100,4833,,95,4840
"0.137932805853
",,95,5457,,100,5449,,95,5453
"0.155479116928
",,100,5102,,100,5079,,100,5091
"0.149059913623
",,100,5107,,100,5086,,95,5103
"0.17904185115
",,100,4094,,100,3928,,100,4015
"0.171409891673
",,100,4601,,95,4515,,95,4552
"0.173361497712
",,100,4500,,95,4436,,100,4424
"0.186119652738
",,95,4128,,100,3980,,90,3979
"0.153211833441
",,95,5155,,90,5146,,100,5160
"0.139990995871
",,95,5306,,100,5296,,100,5310
"0.136426244398
",,100,5600,,100,5595,,100,5602
"0.152695185918
",,90,5176,,95,5160,,100,5159
"0.159613278522
",,90,5028,,100,4996,,95,5016
"0.180299849049
",,95,4241,,100,4119,,100,4153
"0.148078539563
",,100,5211,,100,5180,,100,5206
"0.146963477756
",,100,5208,,100,5203,,100,5223
"0.154959632276
",,100,5045,,100,4993,,100,5035
"0.184628813712
",,100,3983,,100,3795,,100,3862
"0.177387679333
",,90,4497,,100,4362,,100,4451
"0.149183497639
",,95,5110,,100,5095,,100,5092
"0.167743690296
",,95,4746,,100,4706,,100,4713
"0.155272873334
",,85,4973,,95,4931,,100,4987
"0.154762604599
",,95,4959,,95,4933,,100,4964
"0.189473526712
",,100,3793,,95,3479,,95,3647
"0.184038506545
",,100,4070,,95,3983,,100,3982
"0.188726300481
",,100,3760,,100,3602,,100,3637
"0.146919047862
",,100,5275,,95,5256,,100,5292
"0.159897124916
",,90,4863,,90,4848,,100,4841
