Avgc,,Betweenness,,,Eigenvector,,,PageRank,
,,Seed,Influenced,,Seed,Influenced,,Seed,Influenced
"0.140897845893
",,95,5144,,95,5128,,95,5270
"0.140897845893
",,100,5149,,100,5111,,100,5270
"0.140897845893
",,100,5150,,100,5134,,95,5267
"0.140897845893
",,90,5146,,95,5135,,90,5261
"0.140897845893
",,100,5136,,95,5130,,95,5272
"0.140897845893
",,100,5142,,100,5145,,100,5272
"0.140897845893
",,100,5143,,100,5110,,100,5272
"0.140897845893
",,90,5146,,100,5132,,95,5268
"0.140897845893
",,95,5149,,85,5121,,95,5271
"0.140897845893
",,100,5149,,100,5132,,95,5266
"0.140897845893
",,95,5146,,100,5136,,95,5269
"0.140897845893
",,95,5146,,95,5127,,100,5258
"0.140897845893
",,100,5137,,100,5120,,95,5270
"0.140897845893
",,95,5145,,100,5132,,90,5266
"0.140897845893
",,95,5149,,100,5125,,90,5271
"0.140897845893
",,100,5145,,95,5125,,100,5266
"0.140897845893
",,95,5140,,95,5134,,90,5268
"0.140897845893
",,95,5149,,90,5125,,100,5271
"0.140897845893
",,90,5149,,100,5124,,100,5273
"0.140897845893
",,90,5149,,100,5128,,100,5264
"0.140897845893
",,95,5143,,95,5131,,95,5271
"0.140897845893
",,80,5144,,100,5129,,100,5270
"0.140897845893
",,100,5152,,100,5125,,100,5269
"0.140897845893
",,100,5142,,100,5132,,95,5272
"0.140897845893
",,95,5148,,90,5127,,100,5265
"0.140897845893
",,100,5149,,100,5132,,100,5271
"0.140897845893
",,90,5151,,95,5138,,95,5270
"0.140897845893
",,100,5150,,95,5125,,100,5268
"0.140897845893
",,100,5143,,95,5130,,95,5270
"0.140897845893
",,100,5152,,95,5145,,100,5265
"0.140897845893
",,100,5142,,100,5124,,100,5274
"0.140897845893
",,95,5147,,100,5131,,100,5262
"0.140897845893
",,100,5138,,95,5118,,100,5264
"0.140897845893
",,95,5150,,100,5123,,95,5268
"0.140897845893
",,95,5150,,100,5127,,100,5266
"0.140897845893
",,100,5150,,100,5121,,95,5270
"0.140897845893
",,100,5146,,100,5125,,100,5272
"0.140897845893
",,95,5149,,95,5138,,100,5268
"0.140897845893
",,100,5146,,95,5129,,100,5271
"0.140897845893
",,95,5149,,95,5133,,95,5266
"0.140897845893
",,100,5152,,100,5131,,100,5264
"0.140897845893
",,100,5148,,100,5114,,100,5267
"0.140897845893
",,100,5144,,100,5128,,90,5271
"0.140897845893
",,95,5143,,90,5139,,100,5272
"0.140897845893
",,100,5148,,100,5117,,100,5266
"0.140897845893
",,100,5144,,100,5120,,100,5272
"0.140897845893
",,85,5147,,100,5119,,95,5264
"0.140897845893
",,100,5149,,100,5133,,100,5270
"0.140897845893
",,90,5143,,95,5140,,95,5265
"0.140897845893
",,100,5143,,95,5123,,95,5273
"0.140897845893
",,90,5145,,100,5125,,95,5273
"0.140897845893
",,95,5148,,90,5126,,100,5268
"0.140897845893
",,100,5140,,100,5130,,95,5272
"0.140897845893
",,90,5147,,100,5125,,100,5262
"0.140897845893
",,95,5145,,100,5130,,100,5268
"0.140897845893
",,100,5147,,95,5125,,100,5269
"0.140897845893
",,100,5140,,100,5134,,95,5270
"0.140897845893
",,95,5149,,95,5134,,95,5270
"0.140897845893
",,100,5144,,95,5122,,100,5268
"0.140897845893
",,100,5146,,100,5129,,100,5266
"0.140897845893
",,100,5147,,90,5124,,100,5277
"0.140897845893
",,100,5148,,95,5131,,100,5268
"0.140897845893
",,100,5152,,90,5124,,100,5269
"0.140897845893
",,100,5146,,100,5126,,100,5263
"0.140897845893
",,95,5149,,100,5129,,100,5267
"0.140897845893
",,100,5141,,95,5133,,95,5266
"0.140897845893
",,80,5148,,95,5130,,100,5267
"0.140897845893
",,100,5148,,95,5126,,95,5266
"0.140897845893
",,95,5147,,95,5135,,95,5274
"0.140897845893
",,100,5150,,95,5135,,95,5269
"0.140897845893
",,100,5148,,90,5122,,95,5271
"0.140897845893
",,100,5146,,100,5121,,95,5269
"0.140897845893
",,95,5150,,100,5140,,90,5266
"0.140897845893
",,100,5150,,100,5135,,100,5264
"0.140897845893
",,100,5149,,100,5120,,100,5267
"0.140897845893
",,100,5141,,100,5134,,100,5274
"0.140897845893
",,100,5150,,100,5114,,100,5275
"0.140897845893
",,95,5150,,100,5128,,95,5263
"0.140897845893
",,95,5149,,95,5130,,90,5268
"0.140897845893
",,95,5149,,100,5136,,95,5267
"0.140897845893
",,100,5146,,100,5130,,100,5270
"0.140897845893
",,100,5150,,100,5121,,95,5266
"0.140897845893
",,100,5150,,95,5129,,100,5266
"0.140897845893
",,100,5149,,95,5129,,100,5271
"0.140897845893
",,95,5148,,100,5121,,100,5267
"0.140897845893
",,100,5149,,95,5125,,95,5270
"0.140897845893
",,95,5146,,95,5124,,100,5271
"0.140897845893
",,100,5147,,95,5139,,100,5269
"0.140897845893
",,95,5149,,100,5140,,100,5269
"0.140897845893
",,100,5148,,95,5121,,100,5268
"0.140897845893
",,100,5144,,100,5134,,100,5270
"0.140897845893
",,95,5144,,100,5130,,90,5269
"0.140897845893
",,100,5151,,100,5111,,100,5268
"0.140897845893
",,90,5149,,100,5114,,95,5260
"0.140897845893
",,95,5147,,100,5130,,95,5269
"0.140897845893
",,95,5152,,100,5137,,100,5268
"0.140897845893
",,90,5151,,100,5129,,100,5275
"0.140897845893
",,90,5148,,100,5130,,100,5271
"0.140897845893
",,95,5149,,100,5126,,90,5267
"0.140897845893
",,95,5145,,100,5122,,90,5266
